JiraGitKey,JiraTicketKey,StoryPoint,GitHubRepo,CommitMessage,CommitTime,ProjectName,DeveloperKey
288,ed9b54b7-d1c9-4835-bc67-b0e83912f319,8,synergize B2C experiences,Initial commit for project synergize B2C experiences by Bradley Hampton,2023-11-15 06:55:33.705249,synergize B2C experiences,15
289,10fbc653-80b1-4dc2-93b5-4cc6dcc96910,19,synergize dynamic e-commerce,Initial commit for project synergize dynamic e-commerce by Rebecca Jones,2023-09-23 12:39:14.362310,synergize dynamic e-commerce,16
290,30fb437f-0860-4220-b316-72ce936c4884,5,engineer open-source niches,Initial commit for project engineer open-source niches by Rebecca Jones,2024-06-18 05:18:54.693192,engineer open-source niches,16
291,7a3aa699-94c7-4e60-a810-f01acc276fda,2,engineer cross-media e-business,Initial commit for project engineer cross-media e-business by Jennifer Chandler,2023-10-07 09:37:00.216708,engineer cross-media e-business,12
292,2e60249e-bdcc-4def-b0c1-2c2b4a35c5bf,4,engineer cross-media e-business,Initial commit for project engineer cross-media e-business by Jennifer Chandler,2024-05-14 02:54:13.362416,engineer cross-media e-business,12
293,177d4c7b-bf08-4154-9aac-5f427b357b2d,17,engineer open-source niches,Initial commit for project engineer open-source niches by Elizabeth Smith,2023-12-28 03:11:49.258278,engineer open-source niches,11
294,3cdff9f3-35d3-4a60-b99d-86ca2a839fe2,12,productize cross-platform supply-chains,Initial commit for project productize cross-platform supply-chains by Joe Carter,2023-08-01 23:38:26.164690,productize cross-platform supply-chains,3
295,ba9c7740-949e-4122-aadb-cef19f187070,1,strategize B2B relationships,Initial commit for project strategize B2B relationships by Jennifer Wilson,2024-02-01 22:58:09.949612,strategize B2B relationships,4
296,94fb455a-64c3-4296-97ee-af810c14bfb6,9,engineer cross-media e-business,Initial commit for project engineer cross-media e-business by Brittney Murray,2023-10-11 10:17:15.327079,engineer cross-media e-business,20
297,2229d7df-f838-484e-b870-7c98f56ed0f2,2,engineer cross-media e-business,Initial commit for project engineer cross-media e-business by Audrey Daniels,2023-03-16 06:35:59.403322,engineer cross-media e-business,1
298,cc0139d1-719e-4dfc-b2f8-e5d131a3eccd,14,strategize B2B relationships,Initial commit for project strategize B2B relationships by John Jefferson,2023-11-13 10:46:17.927876,strategize B2B relationships,8
299,70ef8957-9044-4c41-accc-f0a7f4761667,18,productize cross-platform supply-chains,Initial commit for project productize cross-platform supply-chains by Jennifer Wilson,2024-03-21 14:57:30.699216,productize cross-platform supply-chains,4
300,6b0ddd0d-81be-45e2-a751-d3b2b52bf688,15,repurpose viral supply-chains,Initial commit for project repurpose viral supply-chains by Michelle Miller,2023-06-23 09:40:19.441384,repurpose viral supply-chains,14
